candidate id,candidate name,father,group,other,test id,test,verbal ability,current affairs,total,test rank,group rank,percentage
7,,,,,114,civil service 2018,25,16,41,78,0,12.812
7,,,,,114,civil service 2018,33,44,77,47,0,24.062
7,,,,,114,civil service 2018,64,90,154,5,0,48.125
7,,,,,114,civil service 2018,50,60,110,25,0,34.375
7,,,,,114,civil service 2018,60,55,115,21,0,35.938
7,,,,,114,civil service 2018,30,46,76,48,0,23.75
7,,,,,114,civil service 2018,9,18,27,84,0,8.438
7,,,,,114,civil service 2018,18,36,54,67,0,16.875
7,,,,,114,civil service 2018,36,31,67,55,0,20.938
7,,,,,114,civil service 2018,25,60,85,42,0,26.562
7,,,,,114,civil service 2018,21,33,54,67,0,16.875
7,,,,,114,civil service 2018,30,35,65,56,0,20.312
7,,,,,114,civil service 2018,15,49,64,57,0,20
7,,,,,114,civil service 2018,25,33,58,63,0,18.125
7,,,,,114,civil service 2018,40,70,110,25,0,34.375
7,,,,,114,civil service 2018,30,15,45,75,0,14.062
7,,,,,114,civil service 2018,-5,26,21,87,0,6.562
7,,,,,114,civil service 2018,17,25,42,77,0,13.125
7,,,,,114,civil service 2018,50,28,78,46,0,24.375
7,,,,,114,civil service 2018,38,58,96,33,0,30
7,,,,,114,civil service 2018,25,40,65,56,0,20.312
7,,,,,114,civil service 2018,54,33,87,40,0,27.188
7,,,,,114,civil service 2018,60,5,65,56,0,20.312
7,,,,,114,civil service 2018,39,41,80,45,0,25
7,,,,,114,civil service 2018,30,45,75,49,0,23.438
7,,,,,114,civil service 2018,57,40,97,32,0,30.312
7,,,,,114,civil service 2018,30,25,55,66,0,17.188
7,,,,,114,civil service 2018,38,25,63,58,0,19.688
7,,,,,114,civil service 2018,26,77,103,29,0,32.188
7,,,,,114,civil service 2018,21,36,57,64,0,17.812
7,,,,,114,civil service 2018,30,30,60,61,0,18.75
7,,,,,114,civil service 2018,36,49,85,42,0,26.562
7,,,,,114,civil service 2018,31,37,68,54,0,21.25
7,,,,,114,civil service 2018,29,54,83,43,0,25.938
7,,,,,114,civil service 2018,46,31,77,47,0,24.062
7,,,,,114,civil service 2018,21,38,59,62,0,18.438
7,,,,,114,civil service 2018,42,45,87,40,0,27.188
7,,,,,114,civil service 2018,40,11,51,70,0,15.938
7,,,,,114,civil service 2018,32,78,110,25,0,34.375
7,,,,,114,civil service 2018,51,11,62,59,0,19.375
7,,,,,114,civil service 2018,45,45,90,39,0,28.125
7,,,,,114,civil service 2018,9,37,46,74,0,14.375
7,,,,,114,civil service 2018,15,38,53,68,0,16.562
7,,,,,114,civil service 2018,36,77,113,23,0,35.312
7,,,,,114,civil service 2018,41,22,63,58,0,19.688
7,,,,,114,civil service 2018,59,83,142,9,0,44.375
7,,,,,114,civil service 2018,-5,45,40,79,0,12.5
7,,,,,114,civil service 2018,72,59,131,14,0,40.938
7,,,,,114,civil service 2018,58,34,92,37,0,28.75
7,,,,,114,civil service 2018,15,20,35,81,0,10.938
7,,,,,114,civil service 2018,20,32,52,69,0,16.25
7,,,,,114,civil service 2018,45,60,105,28,0,32.812
7,,,,,114,civil service 2018,23,33,56,65,0,17.5
7,,,,,114,civil service 2018,62,72,134,12,0,41.875
7,,,,,114,civil service 2018,30,34,64,57,0,20
7,,,,,114,civil service 2018,20,30,50,71,0,15.625
7,,,,,114,civil service 2018,20,47,67,55,0,20.938
7,,,,,114,civil service 2018,38,62,100,31,0,31.25
7,,,,,114,civil service 2018,50,80,130,15,0,40.625
7,,,,,114,civil service 2018,63,54,117,20,0,36.562
7,,,,,114,civil service 2018,40,40,80,45,0,25
7,,,,,114,civil service 2018,30,35,65,56,0,20.312
7,,,,,114,civil service 2018,40,75,115,21,0,35.938
7,,,,,114,civil service 2018,20,42,62,59,0,19.375
7,,,,,114,civil service 2018,40,70,110,25,0,34.375
7,,,,,114,civil service 2018,30,30,60,61,0,18.75
7,,,,,114,civil service 2018,10,50,60,61,0,18.75
7,,,,,114,civil service 2018,15,20,35,81,0,10.938
7,,,,,114,civil service 2018,40,70,110,25,0,34.375
7,,,,,114,civil service 2018,25,25,50,71,0,15.625
7,,,,,114,civil service 2018,45,70,115,21,0,35.938
7,,,,,114,civil service 2018,13,29,42,77,0,13.125
7,,,,,114,civil service 2018,-2,54,52,69,0,16.25
7,,,,,114,civil service 2018,30,10,40,79,0,12.5
7,,,,,114,civil service 2018,33,62,95,34,0,29.688
7,,,,,114,civil service 2018,50,46,96,33,0,30
7,,,,,114,civil service 2018,40,60,100,31,0,31.25
7,,,,,114,civil service 2018,7,24,31,82,0,9.688
7,,,,,114,civil service 2018,10,40,50,71,0,15.625
7,,,,,114,civil service 2018,47,63,110,25,0,34.375
7,,,,,114,civil service 2018,17,14,31,82,0,9.688
7,,,,,114,civil service 2018,35,35,70,52,0,21.875
7,,,,,114,civil service 2018,15,75,90,39,0,28.125
7,,,,,114,civil service 2018,55,0,55,66,0,17.188
7,,,,,114,civil service 2018,1,45,46,74,0,14.375
7,,,,,114,civil service 2018,15,1,16,89,0,5
7,,,,,114,civil service 2018,45,47,92,37,0,28.75
7,,,,,114,civil service 2018,20,65,85,42,0,26.562
7,,,,,114,civil service 2018,50,80,130,15,0,40.625
7,,,,,114,civil service 2018,47,85,132,13,0,41.25
7,,,,,114,civil service 2018,36,50,86,41,0,26.875
7,,,,,114,civil service 2018,50,15,65,56,0,20.312
7,,,,,114,civil service 2018,42,76,118,19,0,36.875
7,,,,,114,civil service 2018,25,35,60,61,0,18.75
7,,,,,114,civil service 2018,5,40,45,75,0,14.062
7,,,,,114,civil service 2018,60,30,90,39,0,28.125
7,,,,,114,civil service 2018,65,27,92,37,0,28.75
7,,,,,114,civil service 2018,55,50,105,28,0,32.812
7,,,,,114,civil service 2018,25,15,40,79,0,12.5
7,,,,,114,civil service 2018,20,35,55,66,0,17.188
7,,,,,114,civil service 2018,75,80,155,4,0,48.438
7,,,,,114,civil service 2018,50,85,135,11,0,42.188
7,,,,,114,civil service 2018,28,28,56,65,0,17.5
7,,,,,114,civil service 2018,57,66,123,17,0,38.438
7,,,,,114,civil service 2018,35,60,95,34,0,29.688
7,,,,,114,civil service 2018,0,45,45,75,0,14.062
7,,,,,114,civil service 2018,5,35,40,79,0,12.5
7,,,,,114,civil service 2018,48,33,81,44,0,25.312
7,,,,,114,civil service 2018,45,65,110,25,0,34.375
7,,,,,114,civil service 2018,62,89,151,6,0,47.188
7,,,,,114,civil service 2018,25,66,91,38,0,28.438
7,,,,,114,civil service 2018,43,44,87,40,0,27.188
7,,,,,114,civil service 2018,57,81,138,10,0,43.125
7,,,,,114,civil service 2018,15,25,40,79,0,12.5
7,,,,,114,civil service 2018,40,51,91,38,0,28.438
7,,,,,114,civil service 2018,49,66,115,21,0,35.938
7,,,,,114,civil service 2018,30,60,90,39,0,28.125
7,,,,,114,civil service 2018,25,55,80,45,0,25
7,,,,,114,civil service 2018,15,25,40,79,0,12.5
7,,,,,114,civil service 2018,75,95,170,2,0,53.125
7,,,,,114,civil service 2018,15,35,50,71,0,15.625
7,,,,,114,civil service 2018,5,25,30,83,0,9.375
7,,,,,114,civil service 2018,59,61,120,18,0,37.5
7,,,,,114,civil service 2018,32,61,93,36,0,29.062
7,,,,,114,civil service 2018,20,70,90,39,0,28.125
7,,,,,114,civil service 2018,63,40,103,29,0,32.188
7,,,,,114,civil service 2018,25,45,70,52,0,21.875
7,,,,,114,civil service 2018,6,-21,-15,93,0,0
7,,,,,114,civil service 2018,40,60,100,31,0,31.25
7,,,,,114,civil service 2018,-5,70,65,56,0,20.312
7,,,,,114,civil service 2018,35,20,55,66,0,17.188
7,,,,,114,civil service 2018,53,57,110,25,0,34.375
